作品名稱,客戶/專案,影片連結,日期,簡介,觀看數,類型
他到底什麼時候會發現？,韭點開始,https://www.instagram.com/reel/DVQevPNCQ7X/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,2026年3月2日,幽默短影片，由我擔任演出、後製剪輯,488萬,短影片
台北早午餐探店,丸子,https://www.instagram.com/reel/DVLmD7hAYvl/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,2026年2月25日,日常短影片探索好吃店家，由我擔任後製剪輯,4.6萬,短影片
刮刮樂前的神秘儀式,韭點開始,https://www.instagram.com/reel/DUqW7SqEiIn/,2026年2月12日,業配合作短影片，透過趣味方式呈現介紹「時時抄經」app，由我擔任演出與後製剪輯,42.9萬,短影片
壽司郎竟然有0元神秘商品？！,韭點開始,https://www.instagram.com/reel/DUiAdSaEgVz/,2026年2月9日,日常短影片分享有趣事件，由我擔任演出與後製剪輯,278萬,短影片
吐槽劇場－消夜殺手！想吃不會自己買啊？,張恩嬅,https://youtu.be/CM6yeaQvOOY?si=xcwqGxLHOJqU-BN9,2022年2月5日,幽默戲劇短片，由我擔任剪輯,2千,戲劇
身為盤子就應該要洗的乾乾淨淨的才對,韭點開始,https://www.instagram.com/reel/DLkOqGWK_p3/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,2025年7月1日,趣味短影片，由我擔任演出與後製剪輯,101萬,短影片
更多影片作品可到連結播放清單查看,,https://youtube.com/playlist?list=PLn7Y01-L1JmYnK9SmDsNle4WKIigzeZgH&si=EsKJgMcAFziRq6gp,,,,
你可以100%不用武器全破《曠野之息》嗎?,遊戲皮卡嚕,https://youtu.be/n7tbnqhDZyU?si=jFYDEoPXsIMIqsuH,2023年5月7日,遊戲長片精華剪輯，由我濃縮長時間直播檔案後剪輯，並加上特效、字卡與音效等,102萬,遊戲精華
當你有一個聽到要運動就不行的朋友,NONE LAND,https://www.instagram.com/reel/DCYt96shkhN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,2024年11月15日,爆紅短影音，由我擔任企劃發想、演出、後製剪輯，宣傳即將到來的運動會活動,51.1萬,短影片
訂閱浪鏈 NONE LAND！,NONE LAND,https://youtu.be/TBjNocePQbY?si=HUaqrYJBvDNkbvu9,2024年3月22日,Youtube頻道首頁的短片動畫，宣傳頻道風格與鼓勵訂閱,,After Effects 動畫
工商巨魔把投資當成手遊在玩？多樣投資竟然只有一種賺錢 | feat. https://www.youtube.com/@6tanchannel,NONE LAND,https://youtu.be/TvdEMT5P1Ds?si=yf4aCJ3keIBnY5SA,2023年5月11日,網路金融節目《思維理融院》邀請到來賓6tan，擔任現場拍攝與後製剪輯,4.1萬,綜藝／網路節目
你可以在倒數結束前，抓到寶可夢嗎？,遊戲皮卡嚕,https://youtu.be/V-vQuu3l2g0?si=rwp7VnX0qZrCwoH6,2025年12月5日,遊戲長片精華剪輯，初剪、特效、字卡與音效等皆由我獨立完成,25萬,遊戲精華
0能的挑戰,NONE LAND,https://www.instagram.com/reel/DBa636npsdc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,2024年10月22日,跟上當時熱門的潮流，由我擔任企劃發想、演出、後製剪輯,31.5萬,短影片
